Partner.Name,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Guinea,3014890569,3284625277,3279063318,3383218923,3693753379,3869032271,3783788551,3588376057,3461282294,2995360969,2833442750,2949637039,3446442219,3666349049,2937071767,4375865936,5836261225,7009809997,6493151288,6992497899,6511123904,7504778989,8263033525,8765067644,8857789706,9275886117,10496056733
"Gambia, The",690314321.4,714255460.5,755042548.1,746491692.6,785996982.5,848237108.6,803630742.5,840285264.6,814723460.1,782915402.4,687408804.6,578236035.1,487038821.6,578785951.4,624173239.9,655070067.7,798885556.5,965781078.2,900639534,951806368.7,898290989.9,910026155.7,898947649.5,833249466.8,907655651.5,962797146.5,1014621520
Guinea-Bissau,257150374.1,226313443.7,236880821.7,235620043.5,253966922.3,270419779.4,268550998.2,206457544.5,224446663.8,370173838.7,392278168.2,415843482,476388260.6,531109356.2,586795675.4,591839470.7,695990208.4,864654795.3,826798659.8,850633309.8,1099385895,989875559.1,1045790133,1053512334,1047808175,1178204501,1346933490
Equatorial Guinea,110906032.1,134707184.4,136047896.2,100807001.8,141853368.3,232463036.4,442337849.5,370687618.7,621117885.7,1045998496,1461139022,1806742742,2484745935,4410764339,8217369093,10086528699,13071718759,19749893536,15027795173,16298542028,21329395901,22389627294,21942597765,21736500713,13180194733,11259559879,12486753871
Greece,1.05143E+11,1.16225E+11,1.08809E+11,1.16602E+11,1.36878E+11,1.45862E+11,1.43158E+11,1.44428E+11,1.42541E+11,1.30134E+11,1.36191E+11,1.53831E+11,2.01924E+11,2.40521E+11,2.47783E+11,2.73318E+11,3.18498E+11,3.54461E+11,3.3E+11,2.99362E+11,2.87798E+11,2.45671E+11,2.39862E+11,2.3703E+11,1.95542E+11,1.92691E+11,2.00288E+11
Grenada,300757888.9,310160444.4,309812185.2,325111814.8,342172518.5,366911444.4,392190592.6,445903592.6,482009370.4,520044370.4,520444185.2,540336925.9,591018407.4,599118592.6,695370296.3,698700666.7,758683592.6,825977888.9,771278111.1,771015888.9,778648666.7,799882148.1,842620111.1,911481481.5,997007925.9,1056188593,1118816679
Greenland,1016493395,1037921837,927219728.9,1005879948,1208946166,1197509787,1072147778,1149862703,1131561595,1068030830,1086172923,1169138789,1558768614,1825157317,1849805733,2013099482,2249811709,2499107511,2529948330,2503156061,2684467376,2609667674,2669515517,2837737194,2520206900,2705891617,
Guatemala,9406097735,10440842165,11399942453,12983235568,14655404433,15674835615,17790026222,19395491993,18318412251,19288827159,18702802395,20776669467,21917706491,23965275996,27211377225,30231249362,34113107086,39136893345,37733994976,41338595381,47654841113,50388454861,53851058955,58722323918,63767597194,68663653469,75620095538
Guam,,,,,,,,,,,,3385000000,3560000000,3857000000,4197000000,4213000000,4375000000,4621000000,4781000000,4895000000,4928000000,5199000000,5337000000,5531000000,5697000000,5793000000,
Guyana,336708419.5,368281378.9,442273433.2,540874934.2,621626785.9,705406001.4,749138009.6,717530683.2,694754988.3,712667896.7,696281471.7,722460886.4,741929342.8,785918769.6,824880550.3,1458449453,1740334782,1922598121,2061323854,2273225042,2576024116,2861562266,2990006534,3077086276,3166029056,3504024213,3675631961
High income,2.02064E+13,2.17696E+13,2.19517E+13,2.35458E+13,2.61193E+13,2.63658E+13,2.5961E+13,2.60555E+13,2.73389E+13,2.7899E+13,2.76172E+13,2.86058E+13,3.20917E+13,3.57457E+13,3.78289E+13,3.99496E+13,4.37017E+13,4.64822E+13,4.3561E+13,4.57193E+13,4.9412E+13,4.94672E+13,5.00126E+13,5.10487E+13,4.83224E+13,4.92819E+13,5.14754E+13
"Hong Kong SAR, China",88959620136,1.04272E+11,1.20354E+11,1.35812E+11,1.44653E+11,1.59717E+11,1.77353E+11,1.68886E+11,1.65768E+11,1.71668E+11,1.69403E+11,1.66349E+11,1.61385E+11,1.691E+11,1.8157E+11,1.93536E+11,2.11597E+11,2.1928E+11,2.14046E+11,2.28638E+11,2.48514E+11,2.62629E+11,2.75697E+11,2.91459E+11,3.09384E+11,3.20881E+11,3.41449E+11
Honduras,3068444712,3419487441,3481990761,3432356579,3911053180,4034037162,4663193916,5202215657,5372543554,7103507989,7565869928,7775078403,8140271081,8772194250,9672035709,10841742348,12275501784,13789715133,14587496229,15839344592,17710315006,18528601901,18499710128,19756494435,20979767785,21643936939,22978532897
Heavily indebted poor countries (HIPC),1.33837E+11,1.21806E+11,1.25954E+11,1.11755E+11,1.27074E+11,1.32907E+11,1.39644E+11,1.43813E+11,1.43744E+11,1.55859E+11,1.48158E+11,1.60932E+11,1.83271E+11,2.11132E+11,2.43511E+11,2.92277E+11,3.48313E+11,4.21087E+11,4.23618E+11,4.68988E+11,5.2401E+11,5.64382E+11,6.12899E+11,6.50445E+11,6.40014E+11,6.52176E+11,7.28774E+11
Croatia,,,,,22387561845,23678012697,23822087053,25432144406,23386945597,21774273832,23289671102,26878499206,34658113497,41574530816,45416358502,50453577898,60093222709,70481451449,62703143057,59829574391,62375044443,56565475275,58085856019,57629518806,49425513611,51338524831,54849180229
Haiti,3473540602,2257121668,1878248741,2167564195,2813313279,2907514523,3338938830,3723909227,4153736347,3953846311,3596443005,3472191962,2960306121,3537720277,4310358096,4756204070,5885325590,6548530572,6584649419,6622541529,7516834160,7890216508,8452509316,8776350790,8724656126,7970649131,8408150518
Hungary,34748508332,38724945368,40119073326,43160392124,46418916500,46659796773,47290180589,48770466839,49170434391,47310623887,53821315066,67716887203,85324771841,1.04067E+11,1.13035E+11,1.15295E+11,1.39851E+11,1.57998E+11,1.30594E+11,1.30923E+11,1.40782E+11,1.27857E+11,1.35216E+11,1.40118E+11,1.22879E+11,1.25817E+11,1.39135E+11
IBRD only,3.71045E+12,3.69885E+12,3.96345E+12,4.34508E+12,4.87812E+12,5.33622E+12,5.65368E+12,5.49787E+12,5.33689E+12,5.79985E+12,5.88508E+12,5.97462E+12,6.72758E+12,8.00347E+12,9.56701E+12,1.13389E+13,1.41113E+13,1.69473E+13,1.64499E+13,1.99772E+13,2.36254E+13,2.51108E+13,2.65485E+13,2.74178E+13,2.58923E+13,2.60255E+13,2.86485E+13
IDA & IBRD total,4.027E+12,4.00575E+12,4.26242E+12,4.63198E+12,5.20985E+12,5.70186E+12,6.03182E+12,5.87403E+12,5.72167E+12,6.22442E+12,6.29875E+12,6.4179E+12,7.22958E+12,8.58821E+12,1.02438E+13,1.2157E+13,1.50671E+13,1.80981E+13,1.75809E+13,2.14288E+13,2.52804E+13,2.68961E+13,2.84875E+13,2.95105E+13,2.79157E+13,2.80057E+13,3.07418E+13
IDA total,3.17927E+11,3.08012E+11,2.99317E+11,2.85827E+11,3.30866E+11,3.64802E+11,3.76901E+11,3.75287E+11,3.84672E+11,4.24694E+11,4.13595E+11,4.43353E+11,5.02103E+11,5.84782E+11,6.76588E+11,8.18084E+11,9.55027E+11,1.15002E+12,1.13098E+12,1.45585E+12,1.65644E+12,1.78805E+12,1.94428E+12,2.10189E+12,2.0334E+12,1.98882E+12,2.09962E+12
IDA blend,1.28128E+11,1.29505E+11,1.19492E+11,1.1934E+11,1.40654E+11,1.56597E+11,1.58399E+11,1.51514E+11,1.57838E+11,1.7576E+11,1.69726E+11,1.84479E+11,2.10422E+11,2.54743E+11,3.00313E+11,3.8011E+11,4.34844E+11,5.19063E+11,4.8233E+11,7.10339E+11,8.15412E+11,8.9723E+11,9.73743E+11,1.05527E+12,9.85847E+11,9.24035E+11,9.15342E+11
Indonesia,1.16622E+11,1.28027E+11,1.58007E+11,1.76892E+11,2.02132E+11,2.2737E+11,2.15749E+11,95445547873,1.40001E+11,1.65021E+11,1.60447E+11,1.95661E+11,2.34772E+11,2.56837E+11,2.85869E+11,3.64571E+11,4.32217E+11,5.10229E+11,5.3958E+11,7.55094E+11,8.92969E+11,9.1787E+11,9.12524E+11,8.90815E+11,8.60854E+11,9.32256E+11,1.01554E+12
IDA only,1.89713E+11,1.77988E+11,1.79816E+11,1.66157E+11,1.89675E+11,2.07499E+11,2.18027E+11,2.23765E+11,2.26635E+11,2.48603E+11,2.43589E+11,2.58527E+11,2.91259E+11,3.29367E+11,3.75393E+11,4.3659E+11,5.18734E+11,6.29698E+11,6.50409E+11,7.38243E+11,8.33523E+11,8.81149E+11,9.60195E+11,1.03522E+12,1.03948E+12,1.06027E+12,1.18602E+12
Isle of Man,,,,,914727080.6,1023086919,1180919719,1382548250,1567465657,1563667800,1614595291,1897606791,2264911807,2758117365,2971167185,3344402193,5685988395,5827468750,5487083658,5920177689,6142169524,6433357030,6754330155,7428280402,6792417112,,
India,2.66502E+11,2.84364E+11,2.7557E+11,3.2291E+11,3.55476E+11,3.87656E+11,4.1032E+11,4.15731E+11,4.527E+11,4.62147E+11,4.78965E+11,5.08069E+11,5.99593E+11,6.99689E+11,8.08901E+11,9.20317E+11,1.20111E+12,1.18695E+12,1.32394E+12,1.65662E+12,1.82305E+12,1.82764E+12,1.85672E+12,2.03913E+12,2.10239E+12,2.27423E+12,2.59749E+12
Not classified,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,49847128533,55985506499,52480253169,57166037102,69222626263,75880632560,82826146132,90082034316,98691849563,99853528653,1.09134E+11,1.27945E+11,1.64285E+11,1.9387E+11,2.11651E+11,2.32086E+11,2.69918E+11,2.7502E+11,2.36311E+11,2.21951E+11,2.39019E+11,2.25572E+11,2.39389E+11,2.58099E+11,2.90617E+11,3.04819E+11,3.33731E+11
"Iran, Islamic Rep.",,,63743623232,71841461173,96419225744,1.20404E+11,1.13919E+11,1.10277E+11,1.13848E+11,1.09592E+11,1.26879E+11,1.28627E+11,1.53545E+11,1.90043E+11,2.26452E+11,2.66299E+11,3.49882E+11,4.06071E+11,4.14059E+11,4.8707E+11,5.835E+11,5.98853E+11,4.67415E+11,4.34475E+11,3.85874E+11,4.18977E+11,4.39514E+11
Iraq,,,,,,,,,,,,,,36627901762,49954890353,65140293688,88840050497,1.31614E+11,1.11661E+11,1.38517E+11,1.8575E+11,2.18001E+11,2.34648E+11,2.34648E+11,1.7964E+11,1.71489E+11,1.97716E+11
Iceland,6807365898,6976080331,6126456175,6294803497,7018100153,7330965239,7548912105,8453704212,8917286036,8927140438,8136345144,9207689916,11316441660,13722824251,16691490114,17048647568,21319946740,17658408759,12944114736,13310567803,14732689535,14292008745,15548321544,17304033021,16942247374,20304098101,23909289979
Israel,67530220219,75575902932,75954641355,86307135997,1.00343E+11,1.09957E+11,1.14725E+11,1.15979E+11,1.1719E+11,1.32339E+11,1.30706E+11,1.21069E+11,1.26865E+11,1.35445E+11,1.42463E+11,1.53967E+11,1.78707E+11,2.1584E+11,2.07419E+11,2.3361E+11,2.61629E+11,2.57297E+11,2.92489E+11,3.08417E+11,2.99094E+11,3.17748E+11,3.50851E+11
Italy,1.24211E+12,1.31581E+12,1.06145E+12,1.09559E+12,1.17079E+12,1.30893E+12,1.23905E+12,1.26631E+12,1.24856E+12,1.14176E+12,1.16232E+12,1.26651E+12,1.56965E+12,1.79831E+12,1.85266E+12,1.94263E+12,2.20305E+12,2.39073E+12,2.18516E+12,2.12506E+12,2.27629E+12,2.07282E+12,2.13049E+12,2.15173E+12,1.83287E+12,1.85938E+12,1.9348E+12
Jamaica,4071219198,3530892749,5405097571,5419134875,6538840170,7368000000,8375077443,8763219645,8851581633,8985352832,9178016493,9694169757,9399447609,10150978155,11204416000,11905525197,12824094990,13678606692,12038829246,13191645686,14439910353,14800165407,14274983016,13897723431,14186886643,14056908749,14768134912
Jordan,4344250257,5311329067,5605841536,6237739516,6727446632,6928359238,7246188575,7912327362,8149106065,8460424401,8975689845,9582453032,10195660790,11411390409,12588665303,15056929760,17110587447,21972004086,23820230000,26425379437,28840263380,30937277606,33593843662,35826925775,37517410282,38654727746,40068308516
Japan,3.58442E+12,3.90881E+12,4.45414E+12,4.90704E+12,5.44912E+12,4.83371E+12,4.41473E+12,4.03251E+12,4.56208E+12,4.88752E+12,4.30354E+12,4.11512E+12,4.44566E+12,4.81515E+12,4.75541E+12,4.53038E+12,4.51526E+12,5.03791E+12,5.23138E+12,5.7001E+12,6.15746E+12,6.20321E+12,5.15572E+12,4.85041E+12,4.39498E+12,4.94927E+12,4.87214E+12
Kazakhstan,24881135586,24906939560,23409027476,21250839258,20374307047,21035357833,22165932063,22135245413,16870817135,18291990619,22152694162,24636593223,30833699703,43151647003,57123671734,81003884545,1.0485E+11,1.33442E+11,1.15309E+11,1.48047E+11,1.92627E+11,2.07999E+11,2.36635E+11,2.21416E+11,1.84388E+11,1.37278E+11,1.59407E+11
Kenya,8151479004,8209129172,5751789915,7148145376,9046326060,12045858436,13115773738,14093998844,12896013577,12705357103,12986007426,13147743911,14904517650,16095337094,18737897745,25825524821,31958195182,35895153328,37021512049,40000088347,41954942417,50334699324,55096730083,61448046802,64007293815,70875289605,74938190655
Kyrgyz Republic,2570833333,2316562500,2028295455,1681006993,1661018519,1827570586,1767864036,1645963750,1249062025,1369693171,1525112242,1605640633,1919012781,2211535312,2460248026,2834168889,3802566171,5139957785,4690062255,4794357795,6197766119,6605139933,7335027592,7468096567,6678178340,6813092066,7564738836
Cambodia,,,2533727592,2791435272,3441205693,3506695720,3443413389,3120425503,3517242477,3677897739,3984000517,4284028483,4658246918,5337833248,6293046162,7274595707,8639235842,10351914093,10401851851,11242275199,12829541141,14054443213,15227991395,16702610842,18049954289,20016747754,22158209503
Kiribati,47515189.28,47737955.35,46919624.64,54832577.86,56338028.17,66515376.79,67537479.59,65334841.06,69032258.06,67254174.4,63101272.37,72196457.68,90231856.8,102367039.3,112133944.3,108545632.5,130754915.9,139125482.3,130465372,153275912.7,177142135.1,188045661.6,187153601.1,178869298.7,169140560.4,181551516.5,196150061.3
St. Kitts and Nevis,209880963,229434518.5,249676000,277567259.3,299699666.7,318742963,357237682.1,364975456.9,389984428.9,420515107.7,461078078.1,483120194.3,465850739.6,502561629.6,543167666.7,636218037,674008481.5,738942555.6,723209111.1,705015370.4,753225963,734462666.7,788163888.9,847778185.2,878281518.5,909854629.6,945854481.5
"Korea, Rep.",3.25734E+11,3.50051E+11,3.86303E+11,4.55603E+11,5.56131E+11,5.98099E+11,5.57503E+11,3.74241E+11,4.85248E+11,5.61633E+11,5.33052E+11,6.0902E+11,6.80521E+11,7.64881E+11,8.98137E+11,1.0118E+12,1.12268E+12,1.00222E+12,9.01935E+11,1.0945E+12,1.20246E+12,1.22281E+12,1.3056E+12,1.41133E+12,1.38276E+12,1.4148E+12,1.53075E+12
Kuwait,11008793176,19858555215,23941391391,24848483838,27191689008,31493987642,30354434553,25941929462,30121879435,37711864407,34890772742,38137545245,47875838926,59440108585,80797945205,1.01551E+11,1.14641E+11,1.47396E+11,1.059E+11,1.15419E+11,1.54028E+11,1.7407E+11,1.74161E+11,1.62631E+11,1.14567E+11,1.10912E+11,1.20126E+11
Latin America & Caribbean (excluding high income),1.14475E+12,1.01084E+12,1.19793E+12,1.39785E+12,1.4933E+12,1.62705E+12,1.79103E+12,1.79886E+12,1.59206E+12,1.79754E+12,1.7637E+12,1.71034E+12,1.71277E+12,1.95234E+12,2.37547E+12,2.78873E+12,3.29578E+12,3.83267E+12,3.59562E+12,4.47479E+12,5.04701E+12,5.06611E+12,5.18532E+12,5.34427E+12,4.37565E+12,4.26379E+12,4.72305E+12
Lao PDR,1028087972,1127806945,1327748655,1543606345,1763536305,1873671550,1747011857,1280177839,1454430642,1731198022,1768619058,1758176653,2023324407,2366398120,2735558726,3452882514,4222962988,5443915121,5832915387,7127792630,8749241114,10191350120,11942230508,13268458232,14390391264,15805707154,16853079615
Lebanon,4451497288,5545921947,7535259851,9599127050,11718795528,13690217333,15751867489,17247179006,17391056369,17260364842,17649751244,19152238806,20082918740,20955223881,21287562189,21796351575,24577114428,29227350570,35477118070,38419626628,40075674163,43868565282,46014226808,47833413749,49459296463,49598825982,51844487742
Liberia,348000000,223500000,160400000,132200000,134800000,159400000,295900000,359600000,441800000,529064600,521000000,543000000,416000000,474700000,550000000,604028900,739027200,850040500,1155147400,1292697100,1545400000,1735500000,1946500000,2013000000,2034000000,2101000000,2158000000
Libya,31995012469,33881392045,30657030223,28607921929,25544128199,27884615385,30698633109,27249786142,35976714101,38270206950,34110064452,20481889764,26265625000,33122307692,47334148578,54961936663,67516236338,87140405361,63028320702,74773444901,34699395524,81873662519,65502870174,41142722414,29274816454,32257171354,50984362478
St. Lucia,513753818.1,566894748.5,574870405.2,600005564.4,640449501.5,662196185.2,676949593.7,737554871.9,775934812.6,784159228.7,743808076,748346605.9,823837141.1,893107210.8,951207366,1134193630,1277494148,1282215407,1262973407,1381968259,1437684815,1436803333,1489928889,1551921037,1649142630,1667078704,1712306556
Latin America & Caribbean,1.44008E+12,1.3583E+12,1.56205E+12,1.79786E+12,1.91642E+12,2.07455E+12,2.27707E+12,2.29721E+12,2.07256E+12,2.28715E+12,2.23749E+12,2.00755E+12,2.05086E+12,2.3632E+12,2.85851E+12,3.34919E+12,3.94513E+12,4.58423E+12,4.30689E+12,5.34099E+12,6.0733E+12,6.13423E+12,6.28395E+12,6.40466E+12,5.50478E+12,5.36066E+12,5.95467E+12
Least developed countries: UN classification,1.58189E+11,1.43099E+11,1.42685E+11,1.33069E+11,1.51656E+11,1.66926E+11,1.76671E+11,1.77723E+11,1.79728E+11,2.03941E+11,1.94103E+11,2.09535E+11,2.37211E+11,2.72973E+11,3.20116E+11,3.76779E+11,4.58485E+11,5.71465E+11,5.82962E+11,6.61535E+11,7.57956E+11,8.05122E+11,8.74604E+11,9.44664E+11,9.28338E+11,9.29672E+11,1.06264E+12
Low income,1.18015E+11,1.06779E+11,1.05422E+11,86896752624,98940228999,1.12284E+11,1.17126E+11,1.18779E+11,1.2082E+11,1.41048E+11,1.33035E+11,1.42496E+11,1.54737E+11,1.77432E+11,2.05513E+11,2.3198E+11,2.76756E+11,3.36094E+11,3.52981E+11,3.84821E+11,4.36772E+11,4.73082E+11,5.16219E+11,5.54429E+11,5.3015E+11,5.0178E+11,5.49654E+11
Liechtenstein,1484152022,1631197909,1673104494,1948118228,2428461395,2504033252,2298410391,2479721341,2664026095,2483953103,2491822707,2688630823,3070691320,3454362686,3659251526,4000239273,4601299567,5081432924,4504549214,5082366478,5739977477,5456009385,6391735894,6657170923,6289165410,,
Sri Lanka,9000362582,9703011636,10338679636,11717604209,13029697561,13897738375,15091913884,15794972847,15656327860,16330814180,15749753805,16536535647,18881765437,20662525941,24405791045,28267410543,32351184234,40715240469,42067974595,56728002830,65289915890,68436230408,74294206491,79359306576,80554807486,81788375090,87174682200
Lower middle income,8.40337E+11,8.80597E+11,8.9117E+11,9.73253E+11,1.09348E+12,1.19897E+12,1.2357E+12,1.10901E+12,1.20632E+12,1.27116E+12,1.28147E+12,1.3764E+12,1.58398E+12,1.81225E+12,2.09123E+12,2.49327E+12,3.07462E+12,3.45189E+12,3.5423E+12,4.49146E+12,5.08511E+12,5.32824E+12,5.55166E+12,5.84097E+12,5.78882E+12,6.0368E+12,6.50416E+12
Low & middle income,3.70279E+12,3.61845E+12,3.85969E+12,4.18749E+12,4.71478E+12,5.16215E+12,5.46153E+12,5.28126E+12,5.16005E+12,5.66166E+12,5.74055E+12,6.02931E+12,6.7804E+12,8.03216E+12,9.57311E+12,1.13818E+13,1.41222E+13,1.69463E+13,1.65746E+13,2.02418E+13,2.38938E+13,2.55103E+13,2.70528E+13,2.80987E+13,2.65346E+13,2.66636E+13,2.92368E+13
Lesotho,704329192.8,831033941.1,835592802.3,878250450.6,1001889857,946123275.9,997996028.6,928458206,912771290.6,887295267.9,825706961.2,775780697.7,1157832935,1511236656,1682350935,1800105590,1820811281,1870722801,1865963015,2385950664,2788022889,2678494689,2526020566,2614576996,2505879960,2291319972,2639386291
Late-demographic dividend,2.23024E+12,2.07986E+12,2.15645E+12,2.46934E+12,3.01704E+12,3.32639E+12,3.48254E+12,3.3528E+12,3.09773E+12,3.40254E+12,3.5166E+12,3.72455E+12,4.24698E+12,5.10547E+12,6.16385E+12,7.43892E+12,9.37277E+12,1.1653E+13,1.12651E+13,1.35146E+13,1.64812E+13,1.76319E+13,1.90131E+13,1.97E+13,1.84644E+13,1.84676E+13,2.04529E+13
Lithuania,,,,,7870782261,8385109020,10120274493,11240360898,10972878636,11539211480,12252498921,14278357284,18802576988,22649930576,26125575942,30216060233,39738180077,47850551149,37440673478,37120517694,43476873413,42848195256,46417340375,48516371721,41508609233,42773029835,47168303744
Luxembourg,14321878795,16065740778,16486900187,18325791415,21588170498,21776609772,19731912494,20209122027,22235929043,21263514833,21272418792,23616328816,29557325056,34685281848,37347394603,42414308117,50888134410,55849686539,51370543206,53212476812,60004630234,56677961787,61739352212,66327344189,57784495265,58631324559,62404461275
Latvia,,,,,5788368511,5970044666,6525676264,7174985107,7533187605,7937758980,8350252966,9546441564,11748433157,14373269156,16922504045,21447021570,30901399261,35596016664,26169854045,23757368290,28223552825,28119996053,30254677297,31335013752,26972863394,27571513793,30264454642
"Macao SAR, China",3735117374,4879018602,5625533410,6265844252,6996034037,7122539667,7211264780,6742367273,6490571704,6720492406,6811227983,7322677820,8195033162,10585624891,12092222042,14789661809,18340447243,20917444920,21475520709,28123640999,36709860068,43031577366,51552075902,55347998648,45361678147,45310877913,50361201096
St. Martin (French part),,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,32285388165,33711069431,31655473664,35604137423,39030285468,43161452678,39147844526,41806219379,41632027600,38857251336,39459581217,42236836821,52064058834,59626020162,62343022651,68640825481,79041294874,92507257784,92897320376,93216746662,1.0137E+11,98266306615,1.06826E+11,1.09881E+11,1.00593E+11,1.03606E+11,1.09139E+11
Monaco,2480497548,2737066956,2574439973,2720297739,3130270919,3137848783,2840182192,2934578789,2906009308,2647883820,2671401083,2905973022,3588988601,4110348444,4280072626,4663488363,5974371696,6919241412,5557245122,5350674803,6074884389,,,,,,
Moldova,,,,,1752975841,1695130457,1930071407,1639497207,1170785048,1288429151,1480656884,1661818168,1980901554,2598231467,2988338439,3408272498,4401154128,6054806101,5439422031,5811604052,7015206498,7284686576,7985349731,7983271111,6512899540,6795741776,8128493432
Madagascar,2653141959,3024459564,3370842211,2977040722,3159901232,3995028593,3545776697,3738704468,3717515283,3877673539,4529575348,4397254608,5474030080,4363934494,5039293031,5515884349,7342923489,9413002921,8550363975,8729936136,9892702358,9919780071,10601690872,10673516673,9744243531,10001193315,11499803807
Maldives,244468292.7,284853358.6,322326642.3,355884383.1,398988955,450382328,508223602.4,540096397.6,589239753.6,624337145.3,870179738.6,897031250,1052121055,1226829563,1163362438,1575200391,1868383461,2271646188,2345294875,2588176055,2774351760,2886170572,3295011382,3697351597,4006531188,4222767413,4597083304
Middle East & North Africa,5.53768E+11,6.03219E+11,6.07327E+11,6.33583E+11,7.0838E+11,8.02283E+11,8.32397E+11,8.0869E+11,8.66216E+11,9.66685E+11,9.70616E+11,9.6682E+11,1.0891E+12,1.27121E+12,1.53014E+12,1.79094E+12,2.12332E+12,2.6477E+12,2.36823E+12,2.76787E+12,3.28215E+12,3.57507E+12,3.55243E+12,3.56676E+12,3.1414E+12,3.14248E+12,3.26575E+12
Mexico,3.14454E+11,3.63609E+11,5.00736E+11,5.27813E+11,3.60074E+11,4.10976E+11,5.00413E+11,5.26502E+11,6.00233E+11,7.07907E+11,7.56706E+11,7.72106E+11,7.29336E+11,7.82241E+11,8.77476E+11,9.75387E+11,1.0527E+12,1.10999E+12,9.00045E+11,1.0578E+12,1.18049E+12,1.20109E+12,1.27444E+12,1.31439E+12,1.16962E+12,1.07691E+12,1.14992E+12
Marshall Islands,82507000,91063000,99461000,108071000,120230000,110858000,106289100,108702100,107978900,110937700,115152100,124735100,126887600,131334600,137928600,143930000,150776500,152788700,152617500,164969100,173260300,185210500,190800800,183121300,179697900,194497900,199399247.1
Middle income,3.58823E+12,3.51442E+12,3.75661E+12,4.10076E+12,4.61612E+12,5.05053E+12,5.34496E+12,5.16351E+12,5.04067E+12,5.52296E+12,5.60898E+12,5.88856E+12,6.62721E+12,7.85613E+12,9.3688E+12,1.11503E+13,1.38451E+13,1.66107E+13,1.62276E+13,1.98539E+13,2.34504E+13,2.50315E+13,2.65334E+13,2.75445E+13,2.60058E+13,2.61578E+13,2.86827E+13
"Macedonia, FYR",4694744898,2316618543,2550195043,3381270208,4449375346,4422160018,3735312143,3571043103,3673288264,3772851420,3709637830,4018365247,4946292775,5682719260,6258600714,6861222332,8336478142,9909548411,9401731496,9407168702,10494632699,9745251126,10817712139,11362272838,10051659161,10745787406,11337827332
Mali,2724131545,2830673389,2818280876,2081846483,2706425298,2780422212,2697105694,2920358587,3439463140,2954129566,3465305993,3889758024,4703504467,5444474268,6245031690,6899799786,8145694632,9750822511,10181021770,10678749467,12978107561,12442747897,13246412031,14388360064,13100058100,14034980334,15288163367
Malta,2750041434,3021910217,2709178327,2998570147,3439931907,3570271558,3705372039,3923637971,4127313818,4306192436,4331870648,4689832690,5456583589,6062780269,6394851387,6757119558,7880509171,8977149553,8528202278,8741059603,9507645260,9209559296,10145114180,11234045376,10574026838,11279535398,12537750732
Myanmar,,,,,,,,,,8905066164,6477790688,6777632512,10467109978,10567354056,11986972419,14502553710,20182477481,31862554102,36906181381,49540813342,59977326086,59937797559,60269734045,65446402659,59687373958,63225097051,69322122756
Middle East & North Africa (excluding high income),,,2.91245E+11,2.98673E+11,3.4055E+11,3.95321E+11,4.05762E+11,4.1157E+11,4.35303E+11,4.51181E+11,4.67356E+11,4.53678E+11,5.11781E+11,5.9292E+11,6.9842E+11,8.11375E+11,1.00283E+12,1.23537E+12,1.1959E+12,1.38352E+12,1.56852E+12,1.72826E+12,1.6232E+12,1.59741E+12,1.43524E+12,1.44468E+12,1.43175E+12
Montenegro,,,,,,,,,,984297589.4,1159869246,1284685051,1707710053,2073234418,2257174481,2721904403,3680710375,4545674528,4159330370,4139192053,4538198499,4087724528,4464261816,4587926231,4052913386,4374130531,4774086094
Mongolia,2379018326,1317611864,768401634.2,925817092.2,1452165005,1345719472,1180934203,1124440249,1057408589,1136896124,1267997934,1396555720,1595297356,1992066808,2523471532,3414055566,4234999823,5623216449,4583850368,7189481824,10409797649,12292770631,12582122604,12226514722,11749620620,11183458131,11488046881
Northern Mariana Islands,,,,,,,,,,,,1284000000,1239000000,1210000000,1061000000,990000000,938000000,939000000,795000000,799000000,733000000,751000000,784000000,845000000,933000000,1242000000,
Mozambique,3263761938,2291175765,2394823062,2460670288,2521738760,3523842275,4227273069,4873242526,5302532113,5016469069,4766928747,5031510909,5597367853,6831808930,7723846195,8312078525,9366742309,11494837053,10911698208,10154238250,13131168012,14534278446,16018848991,16961117243,14798399862,11014862242,12333859926
Mauritania,1443688870,1464392416,1249944999,1315932645,1415296704,1442598431,1401946853,1375115534,1405662879,1293654175,1295539448,1324426607,1563074860,1833444740,2184445123,3040716679,3356757064,3978425881,3670515288,4343665075,5179690136,5225533500,5724227185,5391475277,4844223107,4739298311,5024705934
Mauritius,2856890681,3224267548,3263368410,3558137040,4040345933,4421943910,4187367602,4169664285,4291172816,4582555125,4536538211,4767303154,5609831328,6385695187,6283803256,7028803366,8150138757,9990370016,9128843109,10003670690,11518393367,11668685524,12129642296,12803445934,11692287066,12232463656,13338147523
Malawi,2203545857,1799517082,2070636936,1181802596,1397457932,2281034131,2663234934,1750584265,1775921718,1743506531,1716502862,3495748398,3208837077,3476094499,3655909664,3997852636,4432192844,5320925102,6190991712,6959697194,8003300198,6028470989,5518901971,6054750320,6373201160,5433038647,6303277591
